service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20251104,20261212
8,0,0,0,0,0,0,0,20251104,20261212
18,0,0,0,0,0,0,0,20251104,20261212
26,0,0,0,0,0,0,0,20251104,20261212
44,0,0,0,0,0,0,0,20251104,20261212
58,0,0,0,0,0,0,0,20251104,20261212
60,0,0,0,0,0,0,0,20251104,20261212
61,0,0,0,0,0,0,0,20251104,20261212
176,0,0,0,0,0,0,0,20251104,20261212
178,0,0,0,0,0,0,0,20251104,20261212
184,0,0,0,0,0,0,0,20251104,20261212
189,0,0,0,0,0,0,0,20251104,20261212
199,0,0,0,0,0,0,0,20251104,20261212
269,0,0,0,0,0,0,0,20251104,20261212
275,0,0,0,0,0,0,0,20251104,20261212
285,0,0,0,0,0,0,0,20251104,20261212
293,0,0,0,0,0,0,0,20251104,20261212
331,0,0,0,0,0,0,0,20251104,20261212
372,0,0,0,0,0,0,0,20251104,20261212
375,0,0,0,0,0,0,0,20251104,20261212
376,0,0,0,0,0,0,0,20251104,20261212
389,0,0,0,0,0,0,0,20251104,20261212
390,0,0,0,0,0,0,0,20251104,20261212
392,0,0,0,0,0,0,0,20251104,20261212
394,0,0,0,0,0,0,0,20251104,20261212
398,0,0,0,0,0,0,0,20251104,20261212
401,0,0,0,0,0,0,0,20251104,20261212
412,0,0,0,0,0,0,0,20251104,20261212
426,0,0,0,0,0,0,0,20251104,20261212
428,0,0,0,0,0,0,0,20251104,20261212
430,0,0,0,0,0,0,0,20251104,20261212
432,0,0,0,0,0,0,0,20251104,20261212
433,0,0,0,0,0,0,0,20251104,20261212
435,0,0,0,0,0,0,0,20251104,20261212
436,0,0,0,0,0,0,0,20251104,20261212
441,0,0,0,0,0,0,0,20251104,20261212
447,0,0,0,0,0,0,0,20251104,20261212
451,0,0,0,0,0,0,0,20251104,20261212
463,0,0,0,0,0,0,0,20251104,20261212
506,0,0,0,0,0,0,0,20251104,20261212
507,0,0,0,0,0,0,0,20251104,20261212
508,0,0,0,0,0,0,0,20251104,20261212
509,0,0,0,0,0,0,0,20251104,20261212
510,0,0,0,0,0,0,0,20251104,20261212
511,0,0,0,0,0,0,0,20251104,20261212
512,0,0,0,0,0,0,0,20251104,20261212
513,0,0,0,0,0,0,0,20251104,20261212
514,0,0,0,0,0,0,0,20251104,20261212
516,0,0,0,0,0,0,0,20251104,20261212
517,0,0,0,0,0,0,0,20251104,20261212
519,0,0,0,0,0,0,0,20251104,20261212
521,0,0,0,0,0,0,0,20251104,20261212
522,0,0,0,0,0,0,0,20251104,20261212
526,0,0,0,0,0,0,0,20251104,20261212
