route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc
21284_700,796,300,,700,,,
17999_900,796,M6,,900,,,
17525_400,796,U8,,400,224F86,FFFFFF,
17521_400,796,U6,,400,8C6DAB,FFFFFF,
17518_400,796,U5,,400,7E5330,FFFFFF,
17517_700,796,U5,,700,,,
17515_400,796,U3,,400,16683D,FFFFFF,
17514_400,796,U2,,400,DA421E,FFFFFF,
17512_400,796,U1,,400,7DAD4C,FFFFFF,
17497_700,796,N65,,700,,,
17494_700,796,N60,,700,,,
17488_700,796,N42,,700,,,
17487_700,796,N40,,700,,,
17476_700,796,N20,,700,,,
17472_700,796,N8,,700,,,
17470_700,796,N6,,700,,,
17469_700,796,N5,,700,,,
17467_700,796,N2,,700,,,
17466_700,796,N1,,700,,,
17465_700,796,M85,,700,,,
17463_900,796,M8,,900,,,
17459_900,796,M5,,900,,,
17457_700,796,M48,,700,,,
17453_700,796,M41,,700,,,
17452_900,796,M4,,900,,,
17449_700,796,M29,,700,,,
17446_900,796,M2,,900,,,
17442_900,796,M13,,900,,,
17440_900,796,M10,,900,,,
17438_900,796,M1,,900,,,
17435_700,796,M1,,700,,,
17398_700,796,347,,700,,,
17372_700,796,265,,700,,,
17364_700,796,248,,700,,,
17363_700,796,247,,700,,,
17361_700,796,245,,700,,,
17360_700,796,240,,700,,,
17352_900,796,21,,900,,,
17350_700,796,200,,700,,,
17338_900,796,18,,900,,,
17330_700,796,165,,700,,,
17323_700,796,158,,700,,,
17322_700,796,156,,700,,,
17318_700,796,147,,700,,,
17317_700,796,142,,700,,,
17316_700,796,140,,700,,,
17302_700,796,120,,700,,,
17301_900,796,12,,900,,,
17289_700,796,100,,700,,,
26954_100,731,RE85,,100,,,
23946_100,731,RE8,,100,501689,FFFFFF,
23945_100,731,RE1,,100,E2001A,FFFFFF,
24864_109,1,S5,,109,EB7405,FFFFFF,
18949_109,1,S26,,109,007734,FFFFFF,
12003_109,1,S85,,109,66AA22,FFFFFF,
10227_109,1,S42,,109,CB6418,FFFFFF,
10226_109,1,S42,,109,CB6418,FFFFFF,
10224_109,1,S41,,109,AD5937,FFFFFF,
10223_109,1,S41,,109,AD5937,FFFFFF,
10170_109,1,S9,,109,992746,FFFFFF,
10167_109,1,S8,,109,66AA22,FFFFFF,
10166_109,1,S75,,109,816DA6,FFFFFF,
10163_109,1,S7,,109,816DA6,FFFFFF,
10162_109,1,S7,,109,816DA6,FFFFFF,
10159_109,1,S5,,109,EB7405,FFFFFF,
10158_109,1,S5,,109,EB7405,FFFFFF,
10157_109,1,S5,,109,EB7405,FFFFFF,
10150_109,1,S3,,109,0066AD,FFFFFF,
10149_109,1,S3,,109,0066AD,FFFFFF,
10148_109,1,S3,,109,0066AD,FFFFFF,
10145_109,1,S25,,109,007734,FFFFFF,
10144_109,1,S2,,109,007734,FFFFFF,
10143_109,1,S2,,109,007734,FFFFFF,
10142_109,1,S1,,109,DA6BA2,FFFFFF,
10141_109,1,S1,,109,DA6BA2,FFFFFF,
24055_100,108,RB14,,100,A5027D,FFFFFF,
24053_100,108,RE7,,100,007734,FFFFFF,
24051_2,108,FEX,,2,79122F,FFFFFF,
24045_100,108,RE2,,100,FFD502,000000,
24025_100,108,RE4,,100,992746,FFFFFF,
19059_100,108,RE5,,100,0066AD,FFFFFF,
19058_100,108,RE3,,100,EB7405,FFFFFF,Wittenberg/Falkenberg <> Berlin <> Stralsund/Schwedt
