route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
21284_700,375,277070495,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070496,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070497,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070498,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070499,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070494,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070479,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070480,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070481,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070482,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070483,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070484,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070485,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070486,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070487,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070488,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070489,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070490,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070491,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070492,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070493,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070474,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070475,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070476,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070477,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070478,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070473,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070462,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070463,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070464,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070465,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070466,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070467,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070468,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070469,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070470,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070471,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070472,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070461,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070459,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070460,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070590,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070582,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070586,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070587,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070588,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070583,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070589,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,375,277070566,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070577,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070567,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070578,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070579,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070580,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070568,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,376,277070581,S+U Warschauer Str. (Berlin),,0,,6096,1,2
21284_700,1,277070591,S+U Warschauer Str. (Berlin),,0,,6097,1,2
21284_700,376,277070324,Spandauer Str./Marienkirche (Berlin),,0,,6100,1,2
21284_700,58,277070057,Spandauer Str./Marienkirche (Berlin),,1,,6105,1,2
21284_700,375,277070091,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070092,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070090,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070085,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070086,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070087,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070088,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070089,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070084,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070067,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070068,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070069,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070070,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070071,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070072,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070073,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070074,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070075,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070076,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070077,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070078,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070079,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070080,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070081,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070082,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070083,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070066,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070058,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070059,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070060,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070061,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070062,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070063,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070064,Philharmonie Süd (Berlin),,1,,6103,1,2
21284_700,375,277070065,Philharmonie Süd (Berlin),,1,,6103,1,2
